LONGITUDE,LATITUDE
6.85,50.17
2.75,45.50
2.53,42.17
10.87,43.25
11.63,42.90
11.93,42.60
12.70,41.73
14.14,40.83
14.43,40.82
13.90,40.73
15.21,38.79
14.95,38.48
14.96,38.40
15.00,37.73
12.70,37.10
12.02,36.77
23.34,37.62
24.44,36.70
25.40,36.40
27.18,36.58
27.10,36.63
27.26,36.83
28.52,38.58
33.65,37.67
34.17,38.13
34.57,38.25
34.52,38.57
35.48,38.52
39.83,37.67
42.02,38.65
42.82,38.92
43.33,39.17
43.83,39.33
44.28,39.70
42.90,40.75
42.45,43.33
44.50,42.70
44.00,42.55
44.25,42.45
43.60,41.55
44.12,40.55
44.75,40.28
45.54,39.70
41.74,15.70
42.17,15.08
39.82,15.04
39.92,14.88
40.30,14.24
40.41,13.98
40.42,13.92
40.55,13.82
40.55,13.79
40.60,13.73
40.67,13.60
40.63,13.52
40.72,13.50
41.81,13.58
41.70,13.37
41.65,13.27
41.72,13.18
41.60,13.07
41.15,13.10
41.07,13.28
40.98,13.30
40.85,13.08
40.20,13.02
40.57,12.88
40.48,12.60
40.07,12.38
40.82,12.17
40.25,11.73
41.21,11.88
41.45,11.63
42.20,12.38
42.40,12.47
42.53,12.55
42.43,12.95
42.47,11.58
42.05,11.53
42.20,11.42
41.83,11.25
41.63,11.28
41.52,11.27
41.27,11.08
41.04,10.58
40.70,10.08
40.84,10.07
40.33,9.78
40.28,9.57
40.13,9.35
39.93,8.98
39.75,8.95
39.69,8.80
39.63,8.70
39.47,8.56
38.98,8.78
38.95,8.62
39.35,8.43
39.18,8.35
39.03,8.27
39.13,8.16
39.07,8.07
38.93,7.95
38.35,8.05
38.78,7.77
38.55,7.47
38.43,7.18
38.10,7.07
35.43,7.42
37.83,6.78
38.12,6.65
37.57,5.92
37.67,5.65
35.88,5.10
37.42,4.08
36.05,4.07
36.04,3.50
36.60,2.63
37.97,2.32
36.57,2.32
36.27,1.90
37.90,1.57
36.33,1.50
36.23,1.15
36.18,0.92
36.12,0.77
36.08,0.63
37.87,0.23
36.07,-0.20
34.50,-0.38
36.27,-0.52
36.23,-0.63
36.29,-0.90
36.45,-0.92
36.35,-1.18
35.90,-2.75
37.88,-2.68
37.35,-3.07
36.75,-3.25
31.92,-4.87
33.57,-8.63
33.80,-8.75
33.57,-8.97
33.40,-8.93
33.67,-9.13
33.78,-9.23
30.38,0.73
30.25,0.70
30.25,0.45
29.92,-0.08
30.08,-0.20
30.18,-0.47
29.33,-0.93
29.20,-1.41
29.25,-1.52
29.45,-1.50
29.49,-1.47
29.67,-1.38
